category,exercise,equipment,steps,cues_feel,good_for,why_do_it,regressions,progressions,cautions,sources,tag_goal,tag_area,tag_feel,tag_intensity,tag_time_cost,tag_equipment,tag_pattern,tag_contra
Latest,Tai Chi (Yang-style korte vorm),Geen,"1) Sta ontspannen, knieën zacht. 2) Beweeg langzaam en vloeiend door een korte reeks (bijv. 'Commencing Form' → 'Part the Wild Horse’s Mane' varianten). 3) Houd je adem rustig; schouders laag; gewicht verplaatst geleidelijk.","Je zoekt ‘stabiel en zacht’: lichte spanning in benen/billen, rustige adem, geen scherpe pijn. Het voelt alsof je gecontroleerd van voet naar voet ‘smelt’.","Balans, coördinatie, mobiliteit + rustige conditie; laagdrempelig bewegen.",Veel mensen haken aan omdat het low-impact is maar toch ‘whole-body’ werkt; er is redelijke tot goede evidence voor o.a. balans/valpreventie en knie-artrose gerelateerde klachten.,"Korter (2–5 min), kleinere passen, steun bij muur/stoel.","Langere vorm, langzamer tempo, lagere stand.",Stop bij duizeligheid of scherpe gewrichtspijn; bouw rustig op.,https://www.nccih.nih.gov/health/tai-chi-what-you-need-to-know ; https://pmc.ncbi.nlm.nih.gov/articles/PMC9844554/,balance|relax|trend,fullbody,stressed_tense,low,medium,none,flow,
Latest,Box breathing (4-4-4-4),Geen,1) Adem uit. 2) Adem 4 tellen in door neus. 3) Houd 4. 4) Adem 4 uit. 5) Houd 4. 6) Herhaal 3–4 rondes.,"Rustiger ritme, ‘ruimte’ in borst/buik. Niet forceren; geen hyperventilatie-gevoel.","Stressregulatie, focus als ‘reset’ tussen taken of vóór training.",Super laagdrempelig: je krijgt een standaard ‘anker’ voor adem en aandacht.,"3-3-3-3 of korter, of alleen langer uitademen.","Meer rondes, of 4-6-4-6 (langere uitademing).",Bij paniek/ademproblemen: verkort of stop; forceer geen ademstop.,https://health.clevelandclinic.org/box-breathing-benefits,relax|trend,general,stressed_tense,low,short,none,breath,
Latest,Bear crawl (animal-flow basic),Vloer (optioneel mat),"1) Start op handen/knieën. 2) Til knieën 1–2 cm van de vloer. 3) Crawl voorwaarts: linkerhand + rechtervoet, dan wissel. 4) Rug vlak, heupen laag en stabiel.","Core ‘aan’, schouders werken, heupen blijven stil; hijg is oké, rugpijn niet.","Core-stability, schouderstabiliteit, ‘athletic’ coördinatie.",Populair omdat het een full-body move is zonder materiaal en snel ‘wakker’ maakt.,Knieën op de grond (bear hold → mini-steps).,"Langere afstand/tijd, trager, achterwaarts.","Pols/Schouderklachten: verkort, doe op vuisten of verhoog handen.",https://www.acefitness.org/resources/everyone/exercise-library/150/bear-crawl/,stability|trend,fullbody,general,high,medium,mat,general,wrists_load
Latest,Nordic hamstring curl (eccentric),Iemand die enkels vasthoudt of enkelhaak/sofa,"1) Kniel rechtop, heupen gestrekt. 2) Houd romp in 1 lijn. 3) Laat jezelf langzaam voorover ‘vallen’ (hamstrings remmen) en vang op met handen. 4) Duw terug naar start of kom via hulp terug.","Sterke, gecontroleerde spanning achterbovenbeen; geen stekende knie/hamstring-pijn.","Hamstringkracht (eccentrisch), blessurepreventie (sport).",Een van de best onderzochte ‘hype’ preventie-oefeningen: programma’s met NHE halveren grofweg hamstringblessures in sportpopulaties.,"Kleiner bereik (alleen eerste 10–20°), elastiek-hulp.","Langzamer, groter bereik, extra volume.",Niet in acute hamstringblessurefase; bouw volume rustig op.,https://pubmed.ncbi.nlm.nih.gov/30808663/ ; https://bjsm.bmj.com/content/53/21/1362,strength|trend,general,general,high,medium,chair_step,general,kneeling
Latest,Copenhagen side plank (adductors),Bank/stoel,"1) Zijplank: onderarm op vloer. 2) Bovenbeen op bank (knie of enkel). 3) Til heupen op; houd romp recht. 4) Houd 10–30 sec, wissel.",Binnenkant bovenbeen + core. Het is zwaar; pijn in lies = stop/regel terug.,Adductor- en core-isometrie; populair in teamsport ‘prehab’.,Trendy omdat veel sporters zwakke adductoren hebben; evidence voor blessurepreventie is gemengd maar het is een sterke stimulus voor die spiergroep.,"Bovenbeen met knie op bank (kortere hefboom), kortere holds.","Enkel op bank, langere holds, herhalingen met heuplift.","Liespijn/recente liesblessure: voorzichtig, liefst met fysio-plan.",https://journals.humankinetics.com/view/journals/jsr/33/1/article-p45.pdf,stability|strength|trend,hip_glute|lowback_core,general,high,medium,chair_step,core|core_lateral,wrists_load
Latest,Dead hang (passief hangen),Pull-up bar/stevige balk,"1) Pak stang vast, voeten vrij of deels steun. 2) Laat schouders ‘lang’ worden (niet in oren). 3) Hang 10–30 sec, 2–4 sets.",Rek in lats/borst/onderarmen; decompressie-gevoel. Geen schouderpinch.,"Schoudermobiliteit, grip, ‘posture reset’.",Hype omdat het simpel is en veel mensen ‘vast’ zitten in schouders door zitten/beeldschermwerk.,Voeten op vloer/box voor deels ontlasten.,"Actieve hang (scap pulls), langere holds.",Schouderinstabiliteit/impingement: alleen pijnvrij en gecontroleerd.,https://www.nhs.uk/live-well/exercise/strength-exercises/,posture|trend,shoulder,general,medium,medium,bar,general,overhead_load
Latest,Glute bridge iso hold (30–60s),Vloer (optioneel mat),"1) Rug op vloer, knieën gebogen, voeten heupbreed. 2) Span billen, til heupen tot romp in lijn knieën-schouders. 3) Houd 30–60 sec, rustig ademen.",Brand in bilspieren/hamstrings; lage rug hoort niet te ‘pakken’.,"Glute-activatie, heupstabiliteit, lage-rug ‘basis’.",Isometrics zijn ‘in’ omdat ze veilig doseerbaar zijn en vaak goed voelen bij instabiliteit.,"Kleiner bereik, korter vasthouden.","1-benig, voeten op verhoging.",Kramp hamstrings: zet voeten iets verder weg of focus op bilspier aanspannen.,https://orthoinfo.aaos.org/globalassets/pdfs/2017-rehab_spine.pdf ; https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/neck-and-back-problems-and-conditions/exercises-for-back-pain/,stability|trend,hip_glute,sensitive_overloaded,medium,medium,mat,core,
Latest,90/90 hip switch (mobility),Vloer,"1) Zit met beide knieën 90° (voorbeen extern, achterbeen intern). 2) Romp hoog. 3) Wissel gecontroleerd naar andere kant (hip ‘switch’). 4) 6–10 herhalingen.",Diepe rek/druk rond heupen en bil; knieën oké; geen scherpe liespijn.,"Heup-rotatiemobiliteit, lichaamsbewustzijn.",Hype omdat veel mensen heup-IR/ER missen; dit is een ‘one-stop’ positie om dat te prikkelen.,"Handen achter je voor steun, kleinere range.","Langzamer, zonder handen, voorover leunen in eindpositie.",Knie-/heupirritatie: verklein range of kies alternatief (liggende figure-4).,https://orthoinfo.aaos.org/globalassets/pdfs/2017-rehab_hip.pdf ; https://www.massgeneral.org/assets/mgh/pdf/orthopaedics/sports-medicine/physical-therapy/mass-general-hip-exercises.pdf,mobility|trend,hip_glute,general,medium,medium,,mobility,
Latest,Scapular retraction (band pull-apart),Weerstandsband,1) Band vasthouden op borsthoogte. 2) Trek handen uit elkaar tot schouderbladen naar elkaar en omlaag bewegen. 3) Rustig terug. 2–3×10–15.,Tussen schouderbladen (mid-back) werkt; nek blijft relaxed.,"Schouderbladcontrole, ‘desk posture’ tegenhanger.",Hype in ‘prehab’ omdat veel schouderklachten scapula-control missen.,"Lichtere band, kleiner bereik.","Meer herhalingen/holds, andere hoeken (Y/T/W).",Geen scherpe pijn voorkant schouder; houd ribben laag.,https://orthoinfo.aaos.org/en/recovery/rotator-cuff-and-shoulder-conditioning-program/,posture|trend,shoulder,general,medium,medium,band,pull_scapula,
Daily Stretches,Standing calf stretch (heel cord),Muur,"1) Handen tegen muur. 2) Eén been achter: hiel op vloer, knie gestrekt. 3) Leun naar voren tot rek in kuit. 30–60 sec; wissel.",Rek in kuit/achilles; geen scherpe pijn in hiel.,"Kuit/achilles soepelheid, vaak nuttig bij lopen/hardlopen en stijfheid.","Kuiten worden snel stijf (veel zitten, veel stappen).",Achterste knie licht buigen voor soleus-variant.,"Langere hold, twee varianten (gestrekt + gebogen knie).",Acute achilles-/kuitblessure: voorzichtig.,https://orthoinfo.aaos.org/en/recovery/knee-conditioning-program/,mobility,ankle_foot,stiff_tight,low,short,wall,ankle_calf|mobility,
